Alaska	0.166582589
Alabama	0.058176381
Arkansas	0.053570713
American Samoa	0.394398365
Arizona	-0.100008787
California	-0.081874619
Colorado	0.044234777
Connecticut	0.07056877
District of Columbia	-0.464215914
Delaware	0.201970668
Florida	-0.102612722
Georgia	-0.077968897
Guam	0.07034286
Hawaii	0.182254157
Iowa	-0.11584601
Idaho	0.158230227
Illinois	-0.023137018
Indiana	0.067041537
Kansas	0.070568017
Kentucky	0.075479919
Louisiana	0.024157232439712132
Massachusetts	0.063533126
Maryland	0.081384926
Maine	-0.100222491
Michigan	-0.026808233
Minnesota	0.13607267459050323
Missouri	0.012209761710032022
Mississippi	0.087441231
Montana	0.2592064608505614
North Carolina	0.02602695
North Dakota	0.14249992731078998
Nebraska	0.019420608784569266
New Hampshire	0.21389886096706998
New Jersey	0.024365228358327957
New Mexico	0.242505929
Nevada	0.081005494
New York	0.056864211
Ohio	-0.101037254
Oklahoma	-0.076937303
Oregon	0.136852786
Pennsylvania	0.086619732
Puerto Rico	0.085301946
Rhode Island	0.206878003
South Carolina	0.041645819
South Dakota	0.130613788
Tennessee	0.102843682
Texas	0.03267403
Utah	0.167334222
Virginia	0.075531962
Virgin Islands	0.348878075
Vermont	0.210910408
Washington	0.047302798
Wisconsin	0.049744228
West Virginia	0.155823159
Wyoming	0.192992211
