,0,1,2,3,4
0,1088.0,100.0,85.71428571428571,0.15460600000000113,0.0017069999999819174
1,609.0,100.0,83.26530612244898,0.053276999999980035,0.0007260000000144373
2,414.0,100.0,80.0,0.013685999999978549,0.0006549999999947431
3,278.0,100.0,83.26530612244898,0.011643999999989774,0.0004639999999938027
4,211.0,100.0,80.81632653061224,0.00657699999999295,0.0002829999999960364
5,155.0,100.0,83.6734693877551,0.005628999999998996,0.0005820000000085201
6,127.0,100.0,80.81632653061224,0.004430000000013479,0.00020299999999906504
7,95.0,100.0,82.44897959183673,0.003849999999999909,0.0004619999999988522
8,73.0,100.0,81.22448979591836,0.0029629999999940537,0.0001790000000028158
9,61.0,100.0,82.0408163265306,0.0025720000000148957,0.00015700000000151704
10,52.0,100.0,81.22448979591836,0.0022649999999941883,0.0004870000000209984
11,43.0,99.89795918367346,81.63265306122449,0.0019989999999836527,0.0001630000000147902
12,36.0,99.79591836734694,80.81632653061224,0.0017489999999895645,0.00015099999998824387
13,32.0,99.59183673469387,81.22448979591836,0.0016210000000000946,0.00015899999999646752
14,28.0,99.48979591836735,81.22448979591836,0.001469999999983429,0.00014800000002423985
15,24.0,98.77551020408163,80.40816326530611,0.0013649999999927331,0.00015100000001666558
16,21.0,97.95918367346938,81.22448979591836,0.001517000000006874,0.000227000000023736
17,17.0,95.91836734693877,77.9591836734694,0.0011120000000062191,0.00015799999999899228
18,13.0,93.77551020408164,79.18367346938776,0.0009650000000078762,0.00016800000000216642
19,13.0,93.77551020408164,79.18367346938776,0.0008810000000210039,0.00014500000000339242
20,11.0,91.53061224489795,77.9591836734694,0.0009070000000122036,0.00018299999999271677
21,11.0,91.53061224489795,77.9591836734694,0.0008339999999975589,0.00016100000001983972
22,8.0,86.3265306122449,80.40816326530611,0.0006520000000023174,0.00015500000000656655
23,8.0,86.3265306122449,80.40816326530611,0.0005769999999927222,0.00013700000002359047
24,7.0,85.20408163265306,82.0408163265306,0.0005699999999819738,0.00015300000001161607
25,6.0,84.08163265306122,82.0408163265306,0.0005360000000109721,0.0001330000000052678
26,6.0,84.08163265306122,82.0408163265306,0.0004549999999881038,0.00012999999998442036
