,id,VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
48,64b8150c3f35c83376286f51,5YJ3E1EA2L,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,23,2254542,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035090901
49,64b8150c3f35c83376286f52,KMHC05LH6K,Snohomish,Edmonds,WA,98026,2019,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,124,0,21,167322298,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC,53061042003
50,64b8150c3f35c83376286f53,3C3CFFGE8H,Kitsap,Bremerton,WA,98310,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,100805771,POINT (-122.61136499999998 47.575195000000065),PUGET SOUND ENERGY INC,53035080300
51,64b8150c3f35c83376286f54,WBY7Z2C57J,King,Burien,WA,98166,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,34,289807101,POINT (-122.34101999999996 47.46593000000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027901
52,64b8150c3f35c83376286f55,1G1RD6E45E,Yakima,Yakima,WA,98908,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,142474272,POINT (-120.60272019999996 46.59656250000006),PACIFICORP,53077000903
53,64b8150c3f35c83376286f56,1FT6W1EV8P,Snohomish,Everett,WA,98201,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38,227255038,POINT (-122.20721999999995 47.97993500000007),PUGET SOUND ENERGY INC,53061040400
54,64b8150c3f35c83376286f57,5YJ3E1EA3J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,346738318,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061041609
55,64b8150c3f35c83376286f58,5YJ3E1EB1J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,475527244,POINT (-122.65222999999997 47.571920000000034),PUGET SOUND ENERGY INC,53035081000
56,64b8150c3f35c83376286f59,WBY1Z6C37H,King,Seattle,WA,98122,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,37,204770275,POINT (-122.30838999999997 47.61036500000006),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500
57,64b8150c3f35c83376286f5a,5YJXCDE27L,King,Duvall,WA,98019,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,5,2246226,POINT (-121.98107469999997 47.73779620000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
