,id,VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
12,64b8150c3f35c83376286f2d,JHMZC5F1XJ,Snohomish,Bothell,WA,98012,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,21,167134544,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061051922
13,64b8150c3f35c83376286f2e,1N4AZ0CP1D,Snohomish,Everett,WA,98203,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,38,178419972,POINT (-122.21310499999998 47.95479000000006),PUGET SOUND ENERGY INC,53061040900
14,64b8150c3f35c83376286f2f,1N4AZ1BP4L,Snohomish,Everett,WA,98203,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,38,123583981,POINT (-122.21310499999998 47.95479000000006),PUGET SOUND ENERGY INC,53061041202
15,64b8150c3f35c83376286f30,KMHC75LH5K,Thurston,Olympia,WA,98501,2019,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Not eligible due to low battery range,29,0,22,179814883,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010400
16,64b8150c3f35c83376286f31,5YJ3E1EBXJ,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,192335944,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061041606
17,64b8150c3f35c83376286f32,5YJ3E1EA5K,Snohomish,Monroe,WA,98272,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,39,476385325,POINT (-121.97221499999995 47.85674000000006),PUGET SOUND ENERGY INC,53061053802
18,64b8150c3f35c83376286f33,WA1F2AFY8N,Yakima,Yakima,WA,98908,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,14,202295537,POINT (-120.60272019999996 46.59656250000006),PACIFICORP,53077002801
19,64b8150c3f35c83376286f34,5YJ3E1EB0J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,301171153,POINT (-122.09150499999998 47.91555500000004),PUGET SOUND ENERGY INC,53061052401
20,64b8150c3f35c83376286f35,1N4BZ0CP1H,King,Seattle,WA,98117,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,36,199305298,POINT (-122.37275999999997 47.689685000000054),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600
21,64b8150c3f35c83376286f36,5YJ3E1EB6K,Kitsap,Indianola,WA,98342,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,118213070,POINT (-122.52385499999997 47.752350000000035),PUGET SOUND ENERGY INC,53035940000
22,64b8150c3f35c83376286f37,KNDCE3LG2K,Snohomish,Everett,WA,98204,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,21,5797200,POINT (-122.24128499999995 47.91088000000008),PUGET SOUND ENERGY INC,53061041905
23,64b8150c3f35c83376286f38,JHMZC5F34L,Snohomish,Everett,WA,98208,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,44,147062534,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061041607
24,64b8150c3f35c83376286f39,5YJXCDE27H,Snohomish,Edmonds,WA,98020,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,21,162087971,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050403
25,64b8150c3f35c83376286f3a,2T3YL4DV5E,Snohomish,Everett,WA,98204,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,21,212053544,POINT (-122.24128499999995 47.91088000000008),PUGET SOUND ENERGY INC,53061041808
26,64b8150c3f35c83376286f3b,JN1AZ0CP5C,Walla Walla,Walla Walla,WA,99362,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,193763377,POINT (-118.34331999999995 46.06398500000006),PACIFICORP,53071920702
27,64b8150c3f35c83376286f3c,1N4BZ0CP3G,Chelan,Wenatchee,WA,98801,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,12,179546118,POINT (-120.32009 47.42255000000006),PUD NO 1 OF CHELAN COUNTY,53007961303
