"STLA","GM","TM","NSANY","MBGYY","BMWYY","POAHY","TSLA","Dates"
11.4727096557617,37.4993476867676,128.369995117188,20.0400009155273,15.4270582199097,25.1329956054688,6.74271869659424,21.3686676025391,2018-01-02
11.9458112716675,38.4144058227539,130.130004882812,20.25,15.544849395752,25.2703762054443,6.88754940032959,21.1499996185303,2018-01-03
12.854663848877,39.5985984802246,132.160003662109,20.2299995422363,15.7514390945435,25.4439067840576,7.07261228561401,20.974666595459,2018-01-04
13.5518665313721,39.4819641113281,133.860000610352,20.3899993896484,15.9344682693481,25.7403526306152,7.14502811431885,21.1053333282471,2018-01-05
13.4335899353027,39.6703643798828,134.770004272461,20.4400005340576,16.0033302307129,25.9138870239258,7.16111993789673,22.4273338317871,2018-01-08
13.676365852356,39.5178604125977,133.720001220703,20.5400009155273,16.0413837432861,25.9934234619141,7.2254900932312,22.246000289917,2018-01-09
13.6016635894775,38.5758781433105,136.399993896484,20.5900001525879,16.0142040252686,25.6897411346436,7.18525981903076,22.3199996948242,2018-01-10
14.5789957046509,39.6434440612793,136.910003662109,20.75,16.0450115203857,25.7981986999512,7.21744346618652,22.5300006866455,2018-01-11
14.5603189468384,39.5357856750488,137.199996948242,20.75,16.3512706756592,26.4055557250977,7.4668755531311,22.4146671295166,2018-01-12
14.1370182037354,39.6434440612793,137.970001220703,20.6599998474121,16.4146938323975,27.2153644561768,7.68412399291992,22.6706676483154,2018-01-16
14.3922452926636,39.4999160766602,140.720001220703,20.8099994659424,16.4962425231934,27.3165874481201,7.66803073883057,23.1439990997314,2018-01-17
14.5665435791016,39.3474006652832,138.630004882812,20.6700000762939,16.4998683929443,27.4611988067627,7.59561491012573,22.9713325500488,2018-01-18
14.8964700698853,38.7104568481445,139.850006103516,20.9200000762939,16.6629619598389,28.0034828186035,7.65193891525269,23.3346672058105,2018-01-19
15.0583200454712,38.8360404968262,139.399993896484,21.0799999237061,16.8224353790283,28.5529956817627,7.75653982162476,23.4373321533203,2018-01-22
14.9960718154907,38.9167861938477,139.279998779297,21.2999992370605,16.8677387237549,28.2926998138428,7.71630954742432,23.5193328857422,2018-01-23
15.0334215164185,39.6165313720703,139.029998779297,21.3999996185303,16.9692211151123,28.2637767791748,7.63584661483765,23.0593338012695,2018-01-24
15.1454725265503,38.7194137573242,138.179992675781,21.4400005340576,16.7408847808838,27.9745578765869,7.5071063041687,22.5093326568604,2018-01-25
15.4442720413208,39.0154724121094,139.559997558594,21.8500003814697,16.9438495635986,28.1987037658691,7.58756875991821,22.8566665649414,2018-01-26
15.226393699646,38.5938262939453,139.529998779297,21.8999996185303,16.8623008728027,27.9456405639648,7.44273710250854,23.3020000457764,2018-01-29
15.0832204818726,38.3067512512207,139.619995117188,21.6700000762939,16.7155132293701,27.7359561920166,7.31399869918823,23.054666519165,2018-01-30
15.0458688735962,38.0465888977051,137.919998168945,21.5,16.599536895752,27.6058044433594,7.41055297851562,23.6206665039062,2018-01-31
14.9524974822998,38.0645332336426,138.800003051758,21.5,16.2950897216797,27.620267868042,7.38641357421875,23.283332824707,2018-02-01
13.8817911148071,36.7816581726074,136.619995117188,21.1700000762939,16.0196418762207,26.8755321502686,7.16111993789673,22.9166679382324,2018-02-02
13.2530651092529,35.4718780517578,131.929992675781,20.7099990844727,15.1787891387939,25.6391277313232,6.63811683654785,22.208667755127,2018-02-05
14.1992683410645,37.5531730651855,138.759994506836,21.3799991607666,15.8746662139893,26.8972244262695,7.20939779281616,22.2646675109863,2018-02-06
14.193042755127,38.0286445617676,136.880004882812,21.3700008392334,15.635458946228,26.2247943878174,6.94387245178223,23,2018-02-07
13.371340751648,36.5573768615723,134.429992675781,20.4500007629395,15.4614858627319,25.5740547180176,6.74271869659424,21.0153331756592,2018-02-08
13.396240234375,37.1943244934082,136.570007324219,20.6399993896484,15.7586851119995,25.9211158752441,6.87145662307739,20.6946678161621,2018-02-09
13.5705394744873,37.6787796020508,138.759994506836,20.9500007629395,15.8674163818359,26.0512638092041,6.91973495483398,21.0486679077148,2018-02-12
13.40869140625,37.1405029296875,135.039993286133,20.7700004577637,15.8819150924683,25.9717273712158,6.91168785095215,21.5773334503174,2018-02-13
13.9066925048828,37.5083160400391,135.470001220703,21.0599994659424,16.2515983581543,26.6441593170166,7.04847431182861,21.4873332977295,2018-02-14
13.9378175735474,37.5442008972168,135.279998779297,21.0499992370605,16.3240871429443,26.4923210144043,7.05651998519897,22.271333694458,2018-02-15
13.9378175735474,36.8624000549316,136.199996948242,21.2000007629395,16.3313331604004,26.4850883483887,7.15307426452637,22.3659992218018,2018-02-16
13.7572917938232,36.575325012207,135.850006103516,20.8500003814697,15.6499547958374,25.7548141479492,6.82317924499512,22.318000793457,2018-02-20
13.6950416564941,36.3869247436523,134.800003051758,20.8199996948242,15.5629692077637,25.5668258666992,6.69443988800049,22.2199993133545,2018-02-21
13.5518665313721,36.7009239196777,135.229995727539,20.6599998474121,15.591965675354,25.8560409545898,6.7507643699646,23.0779991149902,2018-02-22
13.5892171859741,36.7009239196777,137.029998779297,21.0599994659424,15.9326524734497,25.9355773925781,6.76685619354248,23.4699993133545,2018-02-23
13.5456428527832,37.2660942077637,138.429992675781,21.3199996948242,15.6644525527954,26.1886425018311,6.94387245178223,23.8279991149902,2018-02-26
13.3464412689209,36.0370597839355,136.029998779297,20.9799995422363,15.5267267227173,25.7692756652832,6.77490234375,23.3993320465088,2018-02-27
13.1908168792725,35.3014144897461,134.600006103516,20.9599990844727,15.5122299194336,25.4005241394043,6.70248699188232,22.8706665039062,2018-02-28
