,city,CO_concentration,CO_aqi,NO2_concentration,NO2_aqi,O3_concentration,O3_aqi,SO2_concentration,SO2_aqi,PM2.5_concentration,PM2.5_aqi,PM10_concentration,PM10_aqi,overall_aqi,area
60,Occoquan,560.76,6,70.6,88,1.79,1,2.77,4,13.7,44,19.23,17,88,Virginia
61,Haymarket,380.52,4,26.39,32,34.69,29,1.59,2,9.53,30,11.52,10,32,Virginia
62,Clifton,787.74,8,78.83,98,0.0,0,4.83,7,22.38,63,34.72,32,98,Virginia
63,Quantico,390.53,4,27.08,33,33.26,28,1.01,1,6.32,20,12.09,11,33,Virginia
64,Hamilton,310.42,3,13.37,16,50.78,43,3.31,4,2.75,8,4.6,4,43,Virginia
65,Hillsboro,327.11,3,17.31,21,40.05,33,1.13,1,4.76,15,6.51,6,33,Virginia
66,Lovettsville,323.77,3,16.79,20,46.49,39,1.36,2,5.51,17,6.95,6,39,Virginia
67,Round Hill,340.46,3,19.71,24,43.63,36,1.33,1,7.16,23,8.82,8,36,Virginia
68,Ashburn,407.22,4,38.39,47,26.82,22,1.42,2,10.43,33,13.02,12,47,Virginia
69,Chantilly,287.06,3,9.0,11,36.48,30,0.4,0,6.05,19,7.51,6,30,Virginia
70,Sterling,340.46,3,17.48,21,36.48,30,0.56,0,7.48,24,8.41,7,30,Virginia
71,Great Falls,208.62,2,2.46,3,72.24,91,0.05,0,0.5,1,0.94,0,91,Virginia
72,McLean,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Virginia
73,Tysons,580.79,6,75.4,94,2.3,1,3.55,5,15.25,49,19.79,18,94,Virginia
74,Burke,243.66,2,2.72,3,50.07,42,0.34,0,10.34,33,11.22,10,42,Virginia
75,Springfield,387.19,4,30.85,38,27.54,23,0.28,0,6.49,21,7.6,7,38,Virginia
76,Lorton,560.76,6,70.6,88,1.79,1,2.77,4,13.7,44,19.23,17,88,Virginia
77,Mount Vernon,297.07,3,12.0,15,47.92,40,0.65,0,3.15,10,3.8,3,40,Virginia
78,Annandale,253.68,2,3.0,3,65.09,69,0.03,0,0.51,1,0.63,0,69,Virginia
79,Oakton,580.79,6,75.4,94,2.3,1,3.55,5,15.25,49,19.79,18,94,Virginia
80,Centreville,520.71,5,58.26,72,12.34,10,1.94,2,14.53,47,18.44,17,72,Virginia
81,Manassas Park,514.03,5,58.26,72,11.27,9,1.83,2,14.58,47,19.06,17,72,Virginia
82,Gainesville,267.03,3,4.76,5,84.4,123,5.78,8,12.65,41,15.12,14,123,Virginia
83,Bristow,253.68,2,3.6,4,65.09,69,0.31,0,1.52,4,1.68,1,69,Virginia
84,Nokesville,514.03,5,58.26,72,11.27,9,1.83,2,14.58,47,19.06,17,72,Virginia
85,Dale City,560.76,6,70.6,88,1.79,1,2.77,4,13.7,44,19.23,17,88,Virginia
86,Woodbridge,834.47,9,77.46,96,0.0,0,1.83,2,24.06,67,35.58,32,96,Virginia
87,Stafford,310.42,3,45.93,57,0.47,0,9.78,14,15.31,49,17.14,15,57,Virginia
88,Fredericksburg,400.54,4,23.99,29,30.4,25,0.37,0,6.39,20,8.07,7,29,Virginia
89,Potomac,453.95,5,55.52,69,16.45,13,2.71,3,12.24,39,15.3,14,69,Maryland
90,Ellicott City,620.84,7,80.88,100,3.8,3,5.9,8,15.9,51,21.61,20,100,Maryland
91,Germantown,303.75,3,11.14,13,49.35,41,0.41,0,4.16,13,5.04,4,41,Maryland
92,Waldorf,273.71,3,16.45,20,33.62,28,2.68,3,4.16,13,5.7,5,28,Maryland
93,Lanham,283.72,3,9.77,12,47.92,40,0.51,0,3.49,11,4.36,4,40,Maryland
94,Beltsville,453.95,5,58.26,72,12.16,10,5.72,8,9.18,29,13.78,12,72,Maryland
95,Crofton,594.14,6,86.37,103,0.46,0,5.13,7,12.91,41,18.79,17,103,Maryland
96,Oxon Hill,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
97,Sykesville,417.23,4,41.81,52,26.11,22,5.78,8,9.25,30,13.38,12,52,Maryland
98,Olney,226.97,2,1.67,2,87.98,132,2.35,3,10.94,35,11.2,10,132,Maryland
99,Georgetown,310.42,3,0.06,0,23.6,20,0.05,0,1.18,3,2.44,2,20,Washington D.C.
100,Dupont Circle,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Washington D.C.
